time.TIME,Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.pitch_angle,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_curvature,driver_demands.steering
0.62,14.31487041,3.95932E-05,24.93064305,0.000100236,-0.008323406,-5.06034E-06,-3.54805E-06,0,3.72034E-05
0.63,14.56417464,3.96984E-05,24.93020401,0.000100245,-0.008321063,-5.05697E-06,-3.56542E-06,0,3.72513E-05
0.64,14.81347451,3.97994E-05,24.92976983,0.000100384,-0.008318381,-5.05568E-06,-3.58818E-06,0,3.74227E-05
0.65,15.06277006,3.9896E-05,24.92934029,0.000100642,-0.008315422,-5.05647E-06,-3.61595E-06,0,3.77055E-05
0.66,15.31206133,3.99883E-05,24.92891529,0.000101006,-0.008312248,-5.05937E-06,-3.64832E-06,0,3.80878E-05
0.67,15.56134838,4.00762E-05,24.92849489,0.000101464,-0.008308917,-5.06424E-06,-3.68487E-06,0,3.85581E-05
0.68,15.81063124,4.01594E-05,24.92807921,0.000102003,-0.008305486,-5.07089E-06,-3.72516E-06,0,3.91048E-05
0.69,16.05990998,4.0238E-05,24.92766827,0.000102612,-0.008302007,-5.07917E-06,-3.76875E-06,0,3.97167E-05
0.7,16.30918462,4.03117E-05,24.92726204,0.000103279,-0.008298528,-5.08897E-06,-3.81518E-06,0,4.03827E-05
0.71,16.55845523,4.03804E-05,24.92686042,0.000103992,-0.008295096,-5.10009E-06,-3.86402E-06,0,4.10916E-05
0.72,16.80772185,4.0444E-05,24.92646337,0.00010474,-0.008291752,-5.11244E-06,-3.91481E-06,0,4.18331E-05
0.73,17.05698452,4.05024E-05,24.92607089,0.000105511,-0.008288533,-5.12582E-06,-3.96714E-06,0,4.25969E-05
0.74,17.30624328,4.05553E-05,24.92568301,0.000106295,-0.008285474,-5.13998E-06,-4.02057E-06,0,4.33738E-05
0.75,17.55549819,4.06027E-05,24.92529974,0.000107082,-0.008282602,-5.15463E-06,-4.07471E-06,0,4.41549E-05
0.76,17.80474929,4.06444E-05,24.92492108,0.000107863,-0.008279945,-5.16945E-06,-4.12919E-06,0,4.49325E-05
0.77,18.05399663,4.06802E-05,24.92454699,0.000108628,-0.008277523,-5.18422E-06,-4.18364E-06,0,4.56994E-05
0.78,18.30324025,4.071E-05,24.92417745,0.000109371,-0.008275354,-5.19869E-06,-4.23775E-06,0,4.6449E-05
0.79,18.55248019,4.07336E-05,24.92381244,0.000110083,-0.008273452,-5.21261E-06,-4.29122E-06,0,4.71759E-05
0.8,18.80171651,4.0751E-05,24.92345197,0.00011076,-0.008271827,-5.22584E-06,-4.34376E-06,0,4.78752E-05
0.81,19.05094925,4.0762E-05,24.92309605,0.000111396,-0.008270486,-5.23824E-06,-4.39514E-06,0,4.85428E-05
0.82,19.30017845,4.07665E-05,24.92274468,0.000111986,-0.008269433,-5.24973E-06,-4.44515E-06,0,4.91754E-05
0.83,19.54940415,4.07644E-05,24.92239782,0.000112528,-0.008268667,-5.26025E-06,-4.4936E-06,0,4.97704E-05
0.84,19.79862642,4.07555E-05,24.92205548,0.000113019,-0.008268188,-5.26979E-06,-4.54033E-06,0,5.03261E-05
0.85,20.04784528,4.07399E-05,24.92171763,0.000113457,-0.00826799,-5.27833E-06,-4.58522E-06,0,5.08411E-05
0.86,20.29706078,4.07175E-05,24.92138427,0.000113842,-0.008268066,-5.28589E-06,-4.62815E-06,0,5.13149E-05
0.87,20.54627298,4.06882E-05,24.9210554,0.000114172,-0.008268407,-5.29254E-06,-4.66906E-06,0,5.17476E-05
0.88,20.79548191,4.0652E-05,24.92073101,0.000114449,-0.008269001,-5.29832E-06,-4.70791E-06,0,5.21396E-05
0.89,21.04468761,4.06088E-05,24.92041108,0.000114674,-0.008269836,-5.30334E-06,-4.74465E-06,0,5.24924E-05
0.9,21.29389014,4.05588E-05,24.92009561,0.000114846,-0.008270899,-5.30762E-06,-4.7793E-06,0,5.28074E-05
0.91,21.54308954,4.05019E-05,24.91978458,0.00011497,-0.008272172,-5.31105E-06,-4.81186E-06,0,5.30864E-05
0.92,21.79228585,4.04381E-05,24.91947797,0.000115046,-0.008273641,-5.31361E-06,-4.84238E-06,0,5.33315E-05
0.93,22.04147912,4.03675E-05,24.91917578,0.000115078,-0.008275289,-5.31535E-06,-4.87089E-06,0,5.35449E-05
0.94,22.29066938,4.02902E-05,24.918878,0.000115068,-0.008277098,-5.31622E-06,-4.89747E-06,0,5.37289E-05
0.95,22.53985669,4.02062E-05,24.9185846,0.000115017,-0.008279051,-5.31618E-06,-4.92219E-06,0,5.3886E-05
0.96,22.78904109,4.01156E-05,24.91829558,0.000114931,-0.00828113,-5.31514E-06,-4.94512E-06,0,5.40191E-05
0.97,23.03822262,4.00184E-05,24.91801092,0.00011481,-0.008283316,-5.31303E-06,-4.96636E-06,0,5.4131E-05
0.98,23.28740132,3.99148E-05,24.9177306,0.000114659,-0.008285594,-5.30982E-06,-4.98602E-06,0,5.42247E-05
0.99,23.53657724,3.98049E-05,24.9174546,0.000114481,-0.008287946,-5.30548E-06,-5.00419E-06,0,5.4303E-05
1,23.78575043,3.96887E-05,24.91718291,0.000114278,-0.008290356,-5.30006E-06,-5.02098E-06,0,5.43686E-05
1.01,24.03492091,3.95664E-05,24.91691552,0.000114055,-0.008292806,-5.29361E-06,-5.03651E-06,0,5.44245E-05
1.02,24.28408875,3.94381E-05,24.9166524,0.000113815,-0.008295284,-5.28621E-06,-5.05087E-06,0,5.4473E-05
1.03,24.53325398,3.93039E-05,24.91639353,0.000113561,-0.008297773,-5.27794E-06,-5.06418E-06,0,5.4517E-05
1.04,24.78241664,3.91639E-05,24.9161389,0.000113297,-0.008300261,-5.26895E-06,-5.07654E-06,0,5.45588E-05
1.05,25.03157677,3.90183E-05,24.91588849,0.000113024,-0.008302734,-5.25938E-06,-5.08805E-06,0,5.4601E-05
1.06,25.28073442,3.88672E-05,24.91564227,0.000112748,-0.008305183,-5.24938E-06,-5.09881E-06,0,5.46459E-05
1.07,25.52988963,3.87108E-05,24.91540023,0.000112469,-0.008307595,-5.23905E-06,-5.10893E-06,0,5.46955E-05
1.08,25.77904244,3.85492E-05,24.91516235,0.000112192,-0.008309962,-5.22851E-06,-5.11848E-06,0,5.47514E-05
1.09,26.02819289,3.83825E-05,24.9149286,0.000111919,-0.008312275,-5.21792E-06,-5.12755E-06,0,5.48156E-05
1.1,26.27734102,3.82109E-05,24.91469897,0.000111651,-0.008314526,-5.20738E-06,-5.13622E-06,0,5.48894E-05
1.11,26.52648688,3.80346E-05,24.91447344,0.000111391,-0.00831671,-5.19696E-06,-5.14457E-06,0,5.49741E-05
1.12,26.77563051,3.78538E-05,24.91425198,0.00011114,-0.008318821,-5.18673E-06,-5.15264E-06,0,5.50704E-05
1.13,27.02477193,3.76685E-05,24.91403457,0.0001109,-0.008320855,-5.17671E-06,-5.16051E-06,0,5.51794E-05
1.14,27.27391121,3.7479E-05,24.91382119,0.000110672,-0.008322808,-5.16695E-06,-5.16821E-06,0,5.53014E-05
1.15,27.52304837,3.72854E-05,24.91361182,0.000110456,-0.008324678,-5.15742E-06,-5.17578E-06,0,5.54367E-05
1.16,27.77218346,3.70878E-05,24.91340644,0.000110253,-0.008326464,-5.14813E-06,-5.18326E-06,0,5.55855E-05
1.17,28.02131651,3.68865E-05,24.91320503,0.000110064,-0.008328165,-5.1391E-06,-5.19068E-06,0,5.57477E-05
1.18,28.27044757,3.66815E-05,24.91300756,0.000109889,-0.008329781,-5.13031E-06,-5.19804E-06,0,5.5923E-05
1.19,28.51957668,3.6473E-05,24.91281402,0.000109727,-0.008331312,-5.12173E-06,-5.20536E-06,0,5.6111E-05
1.2,28.76870387,3.62612E-05,24.91262438,0.000109578,-0.008332761,-5.11337E-06,-5.21265E-06,0,5.63114E-05
1.21,29.01782918,3.60462E-05,24.91243862,0.000109443,-0.00833413,-5.10521E-06,-5.2199E-06,0,5.65234E-05
1.22,29.26695265,3.58281E-05,24.91225672,0.000109321,-0.00833542,-5.09726E-06,-5.2271E-06,0,5.67463E-05
1.23,29.51607433,3.56071E-05,24.91207866,0.000109211,-0.008336636,-5.0895E-06,-5.23426E-06,0,5.69792E-05
1.24,29.76519424,3.53833E-05,24.91190441,0.000109112,-0.00833778,-5.08194E-06,-5.24134E-06,0,5.72213E-05
1.25,30.01431243,3.51568E-05,24.91173397,0.000109024,-0.008338857,-5.07457E-06,-5.24833E-06,0,5.74715E-05
1.26,30.26342893,3.49278E-05,24.9115673,0.000108946,-0.00833987,-5.06739E-06,-5.2552E-06,0,5.77289E-05
1.27,30.51254378,3.46964E-05,24.91140439,0.000108877,-0.008340825,-5.06038E-06,-5.26193E-06,0,5.79924E-05
1.28,30.76165703,3.44627E-05,24.91124521,0.000108816,-0.008341726,-5.05352E-06,-5.2685E-06,0,5.82611E-05
1.29,31.0107687,3.42269E-05,24.91108975,0.000108763,-0.008342577,-5.04681E-06,-5.27487E-06,0,5.85339E-05
1.3,31.25987884,3.3989E-05,24.91093799,0.000108715,-0.008343383,-5.04021E-06,-5.28102E-06,0,5.88095E-05
1.31,31.50898747,3.37492E-05,24.9107899,0.000108673,-0.008344149,-5.0337E-06,-5.2869E-06,0,5.90873E-05
1.32,31.75809465,3.35076E-05,24.91064547,0.000108636,-0.008344879,-5.02726E-06,-5.2925E-06,0,5.93659E-05
1.33,32.0072004,3.32642E-05,24.91050468,0.000108601,-0.00834558,-5.02088E-06,-5.29778E-06,0,5.96445E-05
1.34,32.25630475,3.30193E-05,24.9103675,0.00010857,-0.008346254,-5.01454E-06,-5.30271E-06,0,5.99222E-05
1.35,32.50540776,3.2773E-05,24.91023392,0.000108539,-0.008346906,-5.00824E-06,-5.30727E-06,0,6.01981E-05
1.36,32.75450944,3.25252E-05,24.91010392,0.00010851,-0.008347541,-5.00198E-06,-5.31142E-06,0,6.04716E-05
